,Rooms,Bathroom,Landsize,Lattitude,Longtitude,Train_Price,Predicted_Price
0,2,1.0,202.0,-37.7996,144.9984,1480000.0,1480000.0
1,2,1.0,156.0,-37.8079,144.9934,1035000.0,1035000.0
2,3,2.0,134.0,-37.8093,144.9944,1465000.0,1465000.0
3,3,2.0,94.0,-37.7969,144.9969,850000.0,850000.0
4,4,1.0,120.0,-37.8072,144.9941,1600000.0,1600000.0
5,2,1.0,181.0,-37.8041,144.9953,941000.0,941000.0
6,3,2.0,245.0,-37.8024,144.9993,1876000.0,1876000.0
7,2,1.0,256.0,-37.806,144.9954,1636000.0,1636000.0
8,1,1.0,0.0,-37.8008,144.9973,300000.0,300000.0
9,2,1.0,220.0,-37.801,144.9989,1097000.0,1097000.0
10,2,2.0,0.0,-37.811,145.0067,700000.0,700000.0
11,3,2.0,214.0,-37.8085,144.9964,1350000.0,1350000.0
12,2,2.0,0.0,-37.8078,144.9965,750000.0,750000.0
13,2,1.0,195.0,-37.8084,144.9973,1172500.0,1172500.0
14,1,1.0,0.0,-37.8016,144.9988,433500.0,441000.0
15,2,1.0,238.0,-37.809,144.9976,1310000.0,1310000.0
16,3,2.0,113.0,-37.8056,144.993,1200000.0,1200000.0
17,3,1.0,138.0,-37.8021,144.9965,1176500.0,1176500.0
18,3,1.0,183.0,-37.8022,144.9975,955000.0,955000.0
19,2,1.0,150.0,-37.8011,145.0004,890000.0,890000.0
20,4,2.0,780.0,-37.8073,144.9952,1330000.0,1330000.0
21,3,2.0,0.0,-37.8093,144.9959,900000.0,900000.0
22,3,2.0,4290.0,-37.8078,144.9965,1090000.0,1090000.0
23,2,1.0,0.0,-37.8015,144.9972,500000.0,500000.0
24,2,2.0,124.0,-37.8079,144.9977,1100000.0,1100000.0
25,2,1.0,147.0,-37.808,144.994,1315000.0,1315000.0
26,1,1.0,0.0,-37.8016,144.9988,433500.0,426000.0
27,3,3.0,166.0,-37.8017,145.0001,1447500.0,1447500.0
28,1,1.0,0.0,-37.8078,144.9965,457000.0,457000.0
29,2,2.0,98.0,-37.8005,144.9952,1135000.0,1135000.0
30,4,3.0,0.0,-37.7994,144.9965,1542000.0,1542000.0
31,3,2.0,147.0,-37.805,144.9943,1290000.0,1290000.0
32,3,1.0,168.0,-37.8007,144.9958,1290000.0,1290000.0
33,1,1.0,0.0,-37.8055,144.9961,470000.0,470000.0
34,2,1.0,162.0,-37.8016,144.9956,1180000.0,1180000.0
35,3,2.0,120.0,-37.8022,144.9954,1195000.0,1195000.0
36,2,1.0,182.0,-37.8021,144.9976,1012500.0,1012500.0
37,2,1.0,172.0,-37.8086,144.9946,1030000.0,1030000.0
38,3,2.0,303.0,-37.718,144.878,840000.0,840000.0
39,3,2.0,0.0,-37.7203,144.8755,750000.0,730000.0
40,3,2.0,0.0,-37.7203,144.8755,750000.0,770000.0
41,2,1.0,272.0,-37.7294,144.888,603000.0,603000.0
42,3,2.0,239.0,-37.7218,144.8837,700000.0,700000.0
43,3,1.0,290.0,-37.7273,144.8744,600000.0,600000.0
44,2,1.0,168.0,-37.7215,144.8864,500000.0,500000.0
45,3,1.0,620.0,-37.7173,144.8872,720000.0,720000.0
46,4,1.0,597.0,-37.7259,144.8792,785000.0,785000.0
47,6,3.0,976.0,-37.7239,144.8735,725000.0,725000.0
48,2,1.0,110.0,-37.7216,144.871,450000.0,450000.0
49,2,1.0,141.0,-37.7298,144.8883,515000.0,515000.0
50,2,1.0,120.0,-37.7234,144.8792,530000.0,530000.0
51,3,1.0,1063.0,-37.7249,144.8728,895000.0,895000.0
52,3,1.0,0.0,-37.7217,144.8783,805000.0,805000.0
53,3,1.0,265.0,-37.7302,144.8855,752000.0,752000.0
54,2,1.0,192.0,-37.7177,144.8787,440000.0,440000.0
55,5,2.0,596.0,-37.7248,144.8699,755000.0,755000.0
56,3,2.0,165.0,-37.727,144.887,700000.0,700000.0
57,3,1.0,971.0,-37.7186,144.876,830000.0,830000.0
58,2,1.0,164.0,-37.7218,144.8863,462500.0,462500.0
59,3,2.0,657.0,-37.7269,144.8742,670000.0,670000.0
60,2,1.0,612.0,-37.7187,144.8765,675000.0,675000.0
61,3,2.0,612.0,-37.7173,144.8796,1042000.0,1042000.0
62,3,1.0,775.0,-37.7231,144.8835,910000.0,910000.0
63,4,3.0,531.0,-37.7263,144.8679,773000.0,773000.0
64,3,3.0,555.0,-37.7285,144.8694,810000.0,810000.0
65,3,2.0,422.0,-37.7164,144.8792,715000.0,715000.0
66,3,1.0,614.0,-37.7194,144.8827,790000.0,790000.0
67,3,2.0,161.0,-37.7231,144.8802,540000.0,540000.0
68,3,2.0,293.0,-37.72,144.8776,825000.0,825000.0
69,3,1.0,579.0,-37.7226,144.8733,685000.0,685000.0
70,3,1.0,623.0,-37.7184,144.882,805000.0,805000.0
71,2,1.0,141.0,-37.7202,144.8797,510000.0,510000.0
72,3,2.0,212.0,-37.7181,144.8824,612000.0,612000.0
73,3,1.0,612.0,-37.7169,144.8815,662000.0,662000.0
74,4,3.0,532.0,-37.7263,144.869,978000.0,978000.0
75,3,1.0,585.0,-37.72,144.878,720000.0,720000.0
76,4,1.0,509.0,-37.7261,144.8785,765000.0,765000.0
77,4,2.0,628.0,-37.7256,144.8739,900000.0,900000.0
78,2,1.0,120.0,-37.8459,144.9555,1275000.0,1275000.0
79,2,1.0,159.0,-37.845,144.9538,1455000.0,1455000.0
80,3,2.0,211.0,-37.8481,144.9499,2850000.0,2850000.0
81,3,2.0,128.0,-37.8452,144.9488,1850000.0,1850000.0
82,2,1.0,130.0,-37.8431,144.9565,1436000.0,1436000.0
83,2,1.0,147.0,-37.8444,144.9484,1110000.0,1110000.0
84,2,1.0,167.0,-37.8405,144.9521,1550000.0,1550000.0
85,4,2.0,153.0,-37.8447,144.9523,2300000.0,2300000.0
86,3,2.0,718.0,-37.8443,144.9598,1550000.0,1550000.0
87,3,2.0,132.0,-37.8415,144.952,1800000.0,1800000.0
88,2,1.0,199.0,-37.8422,144.9554,2120000.0,2120000.0
89,3,1.0,253.0,-37.8443,144.9579,1800000.0,1800000.0
90,3,2.0,90.0,-37.8421,144.9571,1800000.0,1800000.0
91,2,1.0,240.0,-37.8379,144.9539,1810000.0,1810000.0
92,3,2.0,177.0,-37.8415,144.9585,2615000.0,2615000.0
93,5,2.0,237.0,-37.8436,144.9557,2100000.0,2100000.0
94,3,1.0,129.0,-37.8422,144.94899999999996,1300000.0,1300000.0
95,3,2.0,0.0,-37.8451,144.9511,1370000.0,1370000.0
96,2,1.0,288.0,-37.8407,144.9523,1000000.0,1000000.0
97,3,2.0,228.0,-37.8445,144.9501,2575000.0,2575000.0
98,2,1.0,149.0,-37.8443,144.9481,1322500.0,1322500.0
99,2,1.0,141.0,-37.8424,144.9562,1562500.0,1562500.0
100,3,2.0,211.0,-37.847,144.9575,2000000.0,2000000.0
101,3,1.0,209.0,-37.8468,144.9546,1900000.0,1900000.0
102,3,2.0,147.0,-37.8473,144.9551,3010000.0,3010000.0
103,4,3.0,327.0,-37.8467,144.9475,2800000.0,2800000.0
104,2,1.0,0.0,-37.846,144.9542,647000.0,647000.0
105,3,1.0,120.0,-37.8427,144.9546,2100000.0,2100000.0
106,3,1.0,238.0,-37.8461,144.9528,2000000.0,2000000.0
107,1,1.0,0.0,-37.8421,144.9517,442500.0,442500.0
108,4,2.0,330.0,-37.8477,144.9558,4735000.0,4735000.0
109,2,1.0,136.0,-37.846,144.9517,1340000.0,1340000.0
110,3,1.0,202.0,-37.8429,144.9493,1801000.0,1801000.0
111,3,3.0,0.0,-37.8415,144.9585,1532000.0,1532000.0
